Time:1,End Time,f001,Event Id,Event Date,Event Duration
5.6260,5.9260,1,,,
5.9260,6.2260,1,,,
6.1600,6.4600,1,,,
6.4270,6.7270,1,,,
6.6600,6.9600,1,,,
6.9270,7.2270,1,,,
7.1610,7.4610,2,,,
7.4280,7.7280,1,,,
7.6610,7.9610,2,,,
7.9280,8.2280,2,,,
8.1610,8.4610,2,,,
8.4280,8.7280,2,,,
8.6950,8.9950,2,,,
8.9620,9.2620,1,,,
9.1960,9.4960,2,,,
9.4620,9.7620,2,,,
9.6960,9.9960,2,,,
9.9630,10.2630,1,,,
10.2300,10.5300,1,,,
10.4970,10.7970,2,,,
10.7300,11.0300,2,,,
10.9970,11.2970,1,,,
11.2310,11.5310,1,,,
11.4970,11.7970,2,,,
11.7640,12.0640,1,,,
11.9980,12.2980,1,,,
12.2650,12.5650,1,,,
12.5320,12.8320,2,,,
12.7650,13.0650,2,,,
13.0320,13.3320,2,,,
13.2660,13.5660,1,,,
13.5320,13.8320,2,,,
13.7660,14.0660,2,,,
14.0330,14.3330,2,,,
14.2660,14.5660,1,,,
14.5330,14.8330,2,,,
14.7670,15.0670,2,,,
14.9840,15.2840,1,,,
15.2670,15.5670,2,,,
15.5170,15.8170,1,,,
15.7510,16.0510,1,,,
16.0180,16.3180,1,,,
16.2850,16.5850,2,,,
16.5510,16.8510,2,,,
16.8020,17.1020,2,,,
17.0190,17.3190,2,,,
17.2850,17.5850,2,,,
17.5520,17.8520,2,,,
17.7860,18.0860,2,,,
18.0530,18.3530,1,,,
18.3200,18.6200,2,,,
18.5860,18.8860,1,,,
18.8200,19.1200,1,,,
19.0870,19.3870,1,,,
19.3200,19.6200,1,,,
19.5870,19.8870,2,,,
19.8370,20.1370,2,,,
20.0880,20.3880,1,,,
20.3550,20.6550,1,,,
20.6210,20.9210,2,,,
20.8720,21.1720,1,,,
21.1220,21.4220,1,,,
21.3550,21.6550,2,,,
21.6220,21.9220,2,,,
21.8890,22.1890,1,,,
22.1230,22.4230,2,,,
22.3560,22.6560,1,,,
22.6230,22.9230,2,,,
30.9300,31.2300,1,,,
31.1960,31.4960,1,,,
31.4630,31.7630,1,,,
31.6970,31.9970,2,,,
31.9640,32.2640,1,,,
32.2310,32.5310,2,,,
32.4810,32.7810,2,,,
32.7310,33.0310,2,,,
32.9980,33.2980,2,,,
33.2310,33.5310,2,,,
33.4650,33.7650,1,,,
33.7320,34.0320,1,,,
33.9990,34.2990,2,,,
34.2320,34.5320,2,,,
34.4990,34.7990,2,,,
34.7490,35.0490,2,,,
35.0000,35.3000,1,,,
35.2500,35.5500,1,,,
35.5000,35.8000,1,,,
35.7330,36.0330,1,,,
36.0170,36.3170,1,,,
36.2510,36.5510,1,,,
36.5010,36.8010,2,,,
36.7840,37.0840,2,,,
37.0350,37.3350,1,,,
37.2680,37.5680,1,,,
37.5350,37.8350,2,,,
37.8180,38.1180,2,,,
38.0350,38.3350,2,,,
38.3020,38.6020,2,,,
38.5690,38.8690,1,,,
38.8030,39.1030,2,,,
39.0690,39.3690,2,,,
39.3360,39.6360,1,,,
39.6030,39.9030,2,,,
39.8370,40.1370,1,,,
40.0870,40.3870,1,,,
40.3370,40.6370,1,,,
40.6040,40.9040,2,,,
40.8380,41.1380,1,,,
41.1210,41.4210,2,,,
41.3710,41.6710,2,,,
41.6050,41.9050,1,,,
41.8880,42.1880,2,,,
42.1390,42.4390,1,,,
